skola	nazov	mesto	ulica	N	znamka
666005	Súkromná hotelová akadémia	Banská Štiavnica	Drieňová 12	11	2.2
666010	Hotelová akadémia	Brezno	Malinovského 1	83	2.3
666101	Obchodná akadémia	Banská Bystrica	Tajovského 25	77	2.3
666109	Obchodná akadémia	Brezno	Malinovského 1	20	2.7
666112	Spojená škola - Obchodná akadémia	Detva	Štúrova 848	30	2.4
666118	Obchodná akadémia	Lučenec	Lúčna 4	54	2.5
666130	Obchodná akadémia - Kereskedelmi Akadémia	Rimavská Sobota	K. Mikszátha 1	21	3
666133	Spojená škola - Obchodná akadémia	Modrý Kameň	Jarmočná 1	22	2.3
666144	Súkromná obchodná akadémia	Žiar nad Hronom	SNP 16	7	2.9
666161	Súkromná obchodná akadémia	Banská Bystrica	Dolná 54	1	—
666301	Spojená škola - Stredná odborná škola podnikania	Banská Bystrica	Školská 7	40	2.9
666340	Súkromná stredná odborná škola podnikania	Zvolen	Námestie Mládeže 587/17	24	3.3
666410	Stredná odborná škola obchodu a služieb	Krupina	M. R. Štefánika 8	27	2.7
666415	Stredná odborná škola obchodu a služieb	Rimavská Sobota	Športová 1	43	3.6
666420	Spojená škola - Stredná odborná škola obchodu a služieb	Modrý Kameň	Jarmočná 1	17	2.8
666425	Stredná odborná škola obchodu a služieb	Nová Baňa	Osvety 17	22	2.3
666435	Stredná odborná škola obchodu a služieb	Žiar nad Hronom	Jilemnického 1282	38	2.2
666501	Stredná odborná škola hotelových služieb a obchodu	Banská Bystrica	Školská 5	77	3.1
666530	Stredná odborná škola hotelových služieb a obchodu	Zvolen	Jabloňová 1351	109	2.5
667211	Súkromná stredná odborná škola pedagogická EBG	Brezno	Školská 5	20	2.9
667220	Pedagogická a sociálna akadémia - Pedagógiai és Szociális Akadémia	Lučenec	Komenského 12	77	2.8
667251	Súkromná stredná odborná škola pedagogická EBG	Žiar nad Hronom	Námestie Matice slovenskej 23	23	2.7
668120	Stredná odborná škola technická	Lučenec	Dukl. hrdinov 2	64	3.6
668150	Súkromná stredná odborná škola technická	Žiar nad Hronom	Ul. Dr. Janského 10	56	2.8
668301	Spojená škola - Stredná odborná škola elektrotechnická	Banská Bystrica	Zvolenská cesta 18	60	3.2
668433	Stredná priemyselná škola dopravná	Zvolen	Sokolska 911/94	78	3.2
668801	Spojená škola - Stredná odborná škola automobilová	Banská Bystrica	Školská 7	31	3.5
668940	Technická akadémia	Zvolen	J. Švermu 1	58	3.1
671001	Gymnázium Leonarda Stöckela	Bardejov	Jiráskova 12	145	1.5
671002	Spojená škola Juraja Henischa - Gymnázium	Bardejov	Slovenská 5	56	2
671003	Cirkevná spojená škola - Gymnázium sv. Jána Bosca	Bardejov	Jiráskova 5	7	1.6
671004	Súkromné gymnázium	Bardejov	Ul. 29. augusta 4	40	2.1
671007	Gymnázium sv. Cyrila a Metoda	Humenné	Duchnovičova 24	25	2.1
671008	Gymnázium arm. gen. L. Svobodu	Humenné	Komenského 4	144	1.7
671009	Gymnázium sv. Jána Zlatoústeho	Humenné	Lesná 28	22	1.9
671011	Gymnázium P. O. Hviezdoslava	Kežmarok	Hviezdoslavova 20	47	2.3
671012	Spojená škola - Gymnázium	Spišská Stará Ves	SNP 3/5	27	1.9
671015	Gymnázium J. Francisciho - Rimavského	Levoča	Kláštorská 37	46	2.4
671016	Gymnázium sv. Františka Assiského	Levoča	Kláštorská 24	54	1.9
671019	Gymnázium	Medzilaborce	Duchnovičova 13	31	1.7
671021	Súkromné gymnázium	Poprad	Rovná 597/15	16	1.8
671022	Spojená škola - Gymnázium	Poprad	Dominika Tatarku 4666/7	137	1.9
671023	Gymnázium	Poprad	Kukučinova 4239/1	134	1.7
671024	Cirkevné gymnázium P. U. Olivu	Poprad	Dlhé hony 3522	26	2
671027	Spojená škola Tarasa Ševčenka - Gymnázium	Prešov	Sládkovičova 4	21	1.9
671028	Katolícka spojená škola sv. Mikuláša - Gymnázium sv. Mikuláša	Prešov	Duklianska 16	36	1.6
671029	Gymnázium	Prešov	Konštantínova 2	233	1.6
671030	Gymnázium sv. Moniky	Prešov	Tarasa Ševčenka 1	123	1.4
671031	Evanjelická spojená škola - Evanjelické kolegiálne gymnázium	Prešov	Námestie legionárov 3	41	1.5
671032	Gymnázium J. A. Raymana	Prešov	Mudroňova 20	132	1.6
671033	Spojená škola - Gymnázium	Prešov	Ľ. Podjavorinskej 22	30	2.9
671034	Súkromná spojená škola European English School - Súkromné gymnázium	Prešov	Solivarská 28	29	2.8
671035	Gymnázium bl. Pavla Petra Gojdiča	Prešov	Bernolákova 21	23	1.6
671036	Súkromné športové gymnázium ELBA	Prešov	Smetanova 2	27	2.6
671041	Gymnázium	Lipany	Komenského 13	92	1.6
671042	Súkromné Gymnázium DSA	Sabinov	Komenského 40	17	2.1
671045	Gymnázium	Snina	Študentská 4	82	1.8
671046	Cirkevná spojená škola - Gymnázium sv. Cyrila a Metoda	Snina	Švermova 10	44	1.9
671050	Gymnázium Terézie Vansovej	Stará Ľubovňa	17. novembra 6	85	2
671051	Cirkevné gymnázium sv. Mikuláša	Stará Ľubovňa	Štúrova 3	51	1.8
671054	Gymnázium	Stropkov	Konštantínova 1751/64	63	1.8
671056	Gymnázium	Giraltovce	Dukelská 30	38	2
671057	Gymnázium duklianskych hrdinov	Svidník	Komenského 16	45	2.1
671062	Gymnázium	Vranov nad Topľou	Dr. C. Daxnera 88	111	1.5
671063	Cirkevná spojená škola - Gymnázium	Vranov nad Topľou	Školská 650	29	2.3
671502	Stredná zdravotnícka škola	Humenné	Lipová 32	47	2.7
671506	Stredná zdravotnícka škola Štefana Kluberta	Levoča	Kláštorská 24 A	36	2.4
671510	Stredná zdavotnícka škola	Poprad	Levočská 5	52	3.4
671513	Stredná zdravotnícka škola sv. Bazila Veľkého	Prešov	Kmeťovo stromoradie 1	59	2
671514	Stredná zdravotnícka škola	Prešov	Sládkovičova 36	138	2.8
671522	Stredná zdravotnícka škola milosrdného Samaritána	Svidník	Sovietskych hrdinov 80	11	3
672099	Súkromné konzervatórium Dezidera Kardoša	Prešov	M. Benku 7	8	2.1
672507	Stredná umelecká škola	Prešov	Vodárenská 3	35	2.3
672509	Stredná umelecká škola	Kežmarok	Slavkovská cesta 19	21	3.1
673001	Súkromná stredná odborná škola	Bardejov	Hviezdoslavova 11	32	2.9
673004	Stredná odborná škola	Kežmarok	Kušnierska brána 349/2	42	3.5
673012	Stredná odborná škola	Kežmarok	Garbiarska 1	62	3
673013	Súkromná spojená škola - Súkromná stredná odborná škola	Kežmarok	Biela voda 2	13	2.7
673016	Spojená škola internátna - Stredná odborná škola pre žiakov so ZP internátna	Levoča	Námestie Štefana Kluberta 1	5	2.8
673017	Spojená škola - Stredná odborná škola lesnícka	Bijacovce	č. 1	10	2.9
673018	Stredná odborná škola Majstra Pavla	Levoča	Kukučínova 9	35	2.7
673021	Stredná odborná škola Andyho Warhola	Medzilaborce	Duchnovičova 506	31	3.2
673026	Súkromná stredná odborná škola	Poprad	Ul. 29. augusta 4812	100	2.6
673027	Stredná odborná škola	Poprad	Okružná 761/25	60	3.6
673028	Stredná odborná škola	Svit	Štefánikova 39	61	3.5
673029	Stredná odborná škola	Vysoké Tatry	Horný Smokovec 26	58	3
673030	Súkromná stredná odborná škola	Poprad	SNP 1253	56	3.3
673034	Súkromná stredná odborná škola - ELBA	Prešov	Smetanova 2	23	3.3
673037	Stredná odborná škola	Prešov	Košická 20	57	3.1
673039	Súkromná stredná odborná škola	Prešov	Pod Kalváriou 36	66	3.9
673043	Spojená škola - Stredná odborná škola	Sabinov	SNP 16	41	3.4
673044	Stredná odborná škola	Lipany	Komenského 16	33	2.7
673046	Stredná odborná škola	Snina	Sladkovičova 2723	17	3.5
673051	Stredná odborná škola sv. Klementa Hofbauera	Podolínec	Kláštorná 2	23	3.1
673052	Stredná odborná škola	Stará Ľubovňa	Jarmočná 108	59	3.2
673056	Stredná odborná škola	Stropkov	Hlavná 6	26	2.5
673061	Súkromná stredná odborná škola	Giraltovce	Dukelská 33	28	3.2
673062	Stredná odborná škola arm. gen. L. Svobodu	Svidník	Bardejovská 715/18	35	3.3
673068	Stredná odborná škola	Vranov nad Topľou	A. Dubčeka 963/2	45	3
673071	Stredná odborná škola	Humenné	Mierová 1973/79	90	2.3
673207	Stredná priemyselná škola strojnícka	Prešov	Duklianska 1	91	2.9
673611	Stredná priemyselná škola	Svidník	Sovietskych hrdinov 369/24	14	2.9
673707	Stredná odborná škola drevárska	Vranov nad Topľou	Lúčna 1055	70	3.5
674007	Stredná priemyselná škola stavebná	Prešov	Plzenská 10	78	2.4
674501	Stredná priemyselná škola	Bardejov	Komenského 5	97	2.6
674511	Stredná priemyselná škola	Poprad	Mnoheľova 828	143	2.9
674520	Stredná priemyselná škola	Prešov	Bardejovská 24	11	3.6
674522	Stredná priemyselná škola	Snina	Partizánska 1059/23	62	3.3
675307	Stredná odborná škola lesnícka	Prešov	Kollárova 10	53	3.5
676002	Hotelová akadémia J. Andraščíka	Bardejov	Pod Vinbargom 3	103	2.9
676004	Hotelová akadémia	Humenné	Štefánikova 28	74	3.1
676007	Hotelová akadémia Otta Brucknera	Kežmarok	MUDr. Alexandra 29	62	2.9
676013	Hotelová akadémia	Prešov	Baštová 32	102	2.5
676015	Súkromná hotelová akadémia	Prešov	Volgogradská 8	6	4
676101	Obchodná akadémia	Bardejov	Komenského 5	36	2.7
676104	Obchodná akadémia	Humenné	Komenského 1	91	2.3
676110	Obchodná akadémia	Poprad	Murgašova 94	121	2.6
676115	Súkromná obchodná akadémia	Prešov	Petrovianska 34	18	3
676116	Obchodná akadémia	Prešov	Volgogradská 3	84	2.3
676123	Obchodná akadémia	Stará Ľubovňa	Jarmočná 132	43	3
676127	Spojená škola - Obchodná akadémia	Svidník	Centrálna 464	49	2.9
676130	Obchodná akadémia	Vranov nad Topľou	Daxnerova 88	62	2.4
676307	Stredná odborná škola podnikania	Prešov	Masarykova 24	81	2.8
676401	Spojená škola	Bardejov	Štefánikova 64	22	3
676419	Stredná odborná škola obchodu a služieb	Prešov	Sídl. duklianskych hrdinov 3	64	3
677004	Stredná pedagogická škola	Levoča	Bottova 15 A	84	2.2
677202	Súkromná stredná odborná škola pedagogická EBG	Humenné	Lesná 909/28	29	1.9
677209	Pedagogická a sociálna akadémia	Prešov	Kmeťovo stromoradie 5	109	2.1
678104	Stredná odborná škola technická	Humenné	Družstevná 1737	116	3.3
678116	Stredná odborná škola technická	Poprad	Kukučínova 483/12	69	3.1
678119	Spojená škola - Stredná odborná škola technická	Prešov	Ľ. Podjavorinskej 22	149	3.4
678120	Stredná odborná škola technická	Prešov	Volgogradská 1	79	3.7
678128	Stredná odborná škola technická	Stará Ľubovňa	Levočská 40	44	2.7
678134	Stredná odborná škola technická	Svidník	Pionierska 361/4	14	2.3
678201	Spojená škola Juraja Henischa - Stredná odborná škola polytechnická	Bardejov	Slovenská 5	75	3.5
678204	Stredná odborná škola polytechnická	Humenné	Štefánikova 1550/20	85	3.4
678316	Stredná odborná škola elektrotechnická	Poprad	Hlavná 1400/1	70	3
678318	Stredná priemyselná škola elektrotechnická	Prešov	Plzenská 1	167	2.3
678328	Stredná odborná škola elektrotechnická	Stropkov	Hviezdoslavova 44	59	2.7
678419	Stredná odborná škola dopravná	Prešov	Konštantínova 2	71	3.4
681001	Gymnázium	Gelnica	SNP 1	25	2.3
681003	Súkromné športové gymnázium	Košice	Užhorodská 39	18	2.8
681004	Gymnázium Milana Rastislava Štefánika	Košice	Námestie L. Novomeského 4	67	1.7
681006	Gymnázium	Košice	Poštová 9	123	1.7
681007	Gymnázium sv. Tomáša Akvinského	Košice	Zbrojničná 3	110	2.2
681008	Gymnázium	Košice	Šrobárova 1	107	2.1
681014	Súkromné gymnázium	Košice	Katkin park 2	43	2.4
681015	Športové gymnázium	Košice	Trieda SNP 104	70	2.7
681016	Gymnázium	Košice	Trebišovská 12	105	2.1
681017	Gymnázium	Košice	Park mládeže 5	158	1.9
681018	Spojená škola - Gymnázium sv. Košických mučeníkov	Košice	Čordákova 50	12	2.2
681022	Gymnázium sv. Edity Steinovej	Košice	Charkovská 1	60	2
681025	Gymnázium	Košice	Alejová 1	99	2.1
681026	Súkromné gymnázium	Košice	Dneperská 1	20	1.9
681027	Evanjelické gymnázium Jána Ámosa Komenského	Košice	Škultétyho 10	114	2
681028	Gymnázium	Košice	Opatovská cesta 7	70	2.1
681032	Gymnázium Štefana Moysesa	Moldava nad Bodvou	Školská 13	19	2.1
681035	Gymnázium Pavla Horova	Michalovce	Masarykova 1	209	1.9
681036	Gymnázium	Michalovce	Ľ. Štúra 26	102	1.8
681037	Gymnázium - Gimnázium	Veľké Kapušany	Zoltána Fábryho 1	18	2.2
681041	Gymnázium P. J. Šafárika - P. J. Šafárik Gimnázium	Rožňava	Ul. akademika Hronca 1	70	2
681044	Gymnázium	Sobrance	Kpt. Nálepku 6	69	1.7
681047	Gymnázium	Krompachy	Lorencova 46	36	2.2
681048	Gymnázium	Spišská Nová Ves	Javorová 16	94	1.6
681049	Gymnázium	Spišská Nová Ves	Školská 7	117	2
681050	Cirkevné gymnázium Štefana Mišíka	Spišská Nová Ves	Radničné námestie 271/8	15	1.2
681054	Gymnázium - Gimnázium	Kráľovský Chlmec	Horešská 18	42	2.2
681055	Spojená škola - Gymnázium	Sečovce	Kollárova 17	26	1.6
681056	Gymnázium	Trebišov	Komenského 32	72	1.7
681057	Cirkevné gymnázium sv. Jána Krstiteľa	Trebišov	M. R. Štefánika 9	44	2.8
681058	Súkromné gymnázium FUTURUM	Košice	Grešákova 1	20	1.7
681059	Premonštrátske gymnázium	Košice	Kováčska 28	29	2.1
681503	Stredná zdravotnícka škola sv. Alžbety	Košice	Mäsiarska 25	25	3.4
681504	Stredná zdravotnícka škola	Košice	Moyzesova 17	132	2.5
681508	Stredná zdravotnícka škola	Košice	Kukučínova 40	64	3
681512	Stredná zdravotnícka škola	Michalovce	Masarykova 27	101	2.2
681515	Stredná zdravotnícka škola - Egészségügyi Középiskola	Rožňava	Námestie 1. mája č.1	33	2.6
682001	Konzervatórium	Košice	Timonova 2	39	2.2
682002	Súkromné konzervatórium	Košice	Zádielska 12	11	2.1
682003	Súkromné hudobné a dramatické konzervatórium	Košice	Požiarnická 1	10	4
682004	Konzervatórium J. Adamoviča	Košice	Exnárova 8	45	2.1
682401	Škola úžitkového výtvarníctva	Košice	Jakobyho 15	77	2.5
682801	Súkromná stredná umelecká škola filmová	Košice	Petzvalova 2	32	2.4
683001	Stredná odborná škola	Prakovce	Breziny 282	12	3.2
683005	Stredná odborná škola Jána Bocatia	Košice	Bocatiova 1	66	2.8
683007	Stredná odborná škola	Košice	Učňovská 5	70	3.3
683010	Súkromná stredná odborná škola	Košice	Postupimská 37	64	2.6
683013	Súkromná stredná odborná škola	Košice	Bukovecká 17	50	2.1
683014	Stredná odborná škola	Košice	Gemerská 1	53	4
683016	Súkromná stredná odborná škola PAMIKO	Košice	Kukučínova 23	1	—
683018	Stredná odborná škola	Košice	Ostrovského 1	184	2.7
683021	Stredná odborná škola - Szakközépiskola	Moldava nad Bodvou	Hlavná 54	13	3.2
683025	Stredná odborná škola sv. Cyrila a Metoda	Michalovce	Tehliarska 2	19	2.8
683026	Stredná odborná škola - Szakközépiskola	Veľké Kapušany	Janka Kráľa 25	17	3.2
683027	Stredná odborná škola	Strážske	Mierová 727	30	2.2
683030	Spojená škola - Stredná odborná škola	Dobšiná	Zimná 96	9	3.2
683031	Stredná odborná škola technická	Rožňava	Hviezdoslavova 5	68	2.7
683042	Súkromná spojená škola SEZ Krompachy - Stredná odborná škola	Krompachy	Maurerova 55	22	3.3
683043	Stredná odborná škola	Spišská Nová Ves	Markušovská cesta 4	62	3.2
683046	Súkromná stredná odborná škola DSA	Trebišov	Komenského 12	79	2.5
683047	Cirkevná stredná odborná škola sv. Jozafáta	Trebišov	Komenského 1963/10	25	4
683048	Stredná odborná škola - Szakközépiskola	Kráľovský Chlmec	Rákocziho 23	42	3.5
683049	Spojená škola - Stredná odborná škola	Sečovce	Kollárova 17	18	3.8
683050	Stredná odborná škola - Szakközépiskola	Pribeník	J. Majlátha 2	7	3
683205	Stredná priemyselná škola strojnícka	Košice	Komenského 2	93	3.1
683209	Technická akadémia	Spišská Nová Ves	Hviezdoslavova 6	116	3.3
683709	Stredná odborná škola drevárska	Spišská Nová Ves	Filinského 7	123	3
684102	Stredná priemyselná škola stavebná a geodetická	Košice	Lermontovova 1	88	3.2
685104	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Košice	Kukučínova 23	26	2.9
685705	Stredná odborná škola veterinárna	Košice	Námestie mladých poľnohospodárov 2	62	2.9
686005	Hotelová akadémia	Košice	Južná trieda 10	84	3.1
686009	Súkromná hotelová akadémia - Dufincova	Michalovce	Komenského 1	12	3.2
686017	Hotelová akadémia	Spišská Nová Ves	Radničné námestie 1	54	2.9
686103	Obchodná akadémia	Košice	Watsonova 61	124	2.7
686113	Obchodná akadémia	Košice	Polárna 1	42	2.8
686117	Obchodná akadémia	Michalovce	Kapušianska 2	75	2.2
686120	Obchodná akadémia	Rožňava	Akademika Hronca 8	49	2.1
686127	Obchodná akadémia	Trebišov	Komenského 3425/18	44	2.6
686203	Súkromná stredná odborná škola ekonomická Tercium	Košice	Palackého 14	12	3.8
686213	Stredná odborná škola ekonomická	Spišská Nová Ves	Stojan 1	71	2.9
686419	Stredná odborná škola obchodu a služieb	Michalovce	Školská 4	113	3.2
686422	Stredná odborná škola obchodu a služieb	Rožňava	Rožňavská Baňa 211	62	2.7
686425	Stredná odborná škola obchodu a služieb	Sobrance	Námestie slobody 12	39	2.3
687004	Katolícka stredná pedagogická škola sv. Cyrila a Metoda	Košice	Južná trieda 48	49	3.4
687204	Súkromná pedagogická a sociálna akadémia	Košice	Požiarnická 1	28	3.2
688129	Stredná odborná škola technická	Košice	Kukučínova 23	104	3.2
688132	Stredná odborná škola technická	Michalovce	Partizánska 1	187	3
688303	Stredná priemyselná škola elektrotechnická	Košice	Komenského 44	169	2.5
688403	Stredná priemyselná škola dopravná	Košice	Hlavná 113	106	3.5
688705	Stredná odborná škola železničná	Košice	Palackého 14	79	3.2
688802	Stredná odborná škola automobilová	Košice	Moldavská cesta 2	84	3.8