skola	nazov	mesto	ulica	adresa	m_n	m_z
611001	Gymnázium	Bratislava	Bilíkova 24	Bilíkova 24, Bratislava	27	2.4
611002	Gymnázium	Bratislava	Grösslingová 18	Grösslingová 18, Bratislava	70	1.7
611003	Základná škola a Gymnázium s VJM	Bratislava	Dunajská 13	Dunajská 13, Bratislava	13	2.2
611004	Gymnázium	Bratislava	Hubeného 23	Hubeného 23, Bratislava	14	1.6
611005	Gymnázium I. Horvátha	Bratislava	I. Horvátha 14	I. Horvátha 14, Bratislava	16	2.3
611006	Gymnázium	Bratislava	Ladislava Sáru 1	Ladislava Sáru 1, Bratislava	18	2.2
611007	Gymnázium A. Einsteina	Bratislava	Einsteinova 35	Einsteinova 35, Bratislava	14	2.1
611008	Gymnázium	Bratislava	Metodova 2	Metodova 2, Bratislava	35	2.5
611009	Spojená škola - Gymnázium J. Hronca	Bratislava	Novohradská 3	Novohradská 3, Bratislava	115	1.5
611010	Gymnázium L. Novomeského	Bratislava	Tomášikova 2	Tomášikova 2, Bratislava	33	2.1
611011	Gymnázium Jána Papánka	Bratislava	Vazovova 6	Vazovova 6, Bratislava	27	2.3
611012	Športové gymnázium	Bratislava	Ostredková 10	Ostredková 10, Bratislava	7	2.3
611013	Gymnázium pre žiakov s TP	Bratislava	Mokrohájska 3	Mokrohájska 3, Bratislava	1	—
611014	Gymnázium F. Garcíu Lorcu	Bratislava	Hronská 3	Hronská 3, Bratislava	8	2
611015	1. súkromné gymnázium	Bratislava	Bajkalská 20	Bajkalská 20, Bratislava	23	1.5
611016	Evanjelické lýceum	Bratislava	Vranovská 2	Vranovská 2, Bratislava	6	2.2
611017	Gymnázium Matky Alexie	Bratislava	Jesenského 4/A	Jesenského 4/A, Bratislava	29	1.2
611018	Súkromné gymnázium Mercury	Bratislava	Zadunajská cesta 27	Zadunajská cesta 27, Bratislava	3	1.7
611019	Gymnázium	Bratislava	Pankúchova 6	Pankúchova 6, Bratislava	11	—
611022	Súkromné gymnázium	Bratislava	Kremnická 26	Kremnická 26, Bratislava	14	3.2
611023	Súkromné gymnázium	Bratislava	Vážska 32	Vážska 32, Bratislava	2	1
611025	Gymnázium sv. Uršule	Bratislava	Nedbalova 6	Nedbalova 6, Bratislava	12	2.1
611026	Spojená škola sv. Rodiny - Gymnázium	Bratislava	Gercenova 10	Gercenova 10, Bratislava	3	1.7
611030	Spojená škola sv. V. de Paul - Gymnázium	Bratislava	Bachova 4	Bachova 4, Bratislava	3	1
611031	Spojená škola - Gymnázium	Bratislava	Tilgnerova 14	Tilgnerova 14, Bratislava	21	1.6
611033	Spojená škola de La Salle	Bratislava	Čachtická 14	Čachtická 14, Bratislava	10	2.5
611040	Gymnázium	Malacky	1. mája 8	1. mája 8, Malacky	27	2
611041	Gymnázium sv. F. Assiského	Malacky	Kláštorné námestie 1	Kláštorné námestie 1, Malacky	8	2.1
611042	Gymnázium Karola Štúra	Modra	Námestie Slobody 5	Námestie Slobody 5, Modra	13	—
611043	Gymnázium	Pezinok	Senecká 2	Senecká 2, Pezinok	16	1.5
611045	Gymnázium A. Bernoláka	Senec	Lichnerova 69	Lichnerova 69, Senec	4	—
611047	Bilingválne gymnázium C. S. Lewisa	Bratislava	Haanova 28	Haanova 28, Bratislava	15	1.7
611049	Škola pre mimoriadne nadané deti a gymnázium	Bratislava	Teplická 7	Teplická 7, Bratislava	10	1
611051	Súkromné gymnázium	Bratislava	Česká 10	Česká 10, Bratislava	2	2
611052	Spojená škola sv. Františka z Assisi	Bratislava	Karloveská 32	Karloveská 32, Bratislava	6	1.5
611055	Súkromné gymnázium Galileo School	Bratislava	Dudvážska 6	Dudvážska 6, Bratislava	2	2
613008	Súkromná stredná odborná škola	Bratislava	Exnárova 20	Exnárova 20, Bratislava	1	—
613201	Stredná priemyselná škola strojnícka	Bratislava	Fajnorovo nábrežie 5	Fajnorovo nábrežie 5, Bratislava	2	2.5
613301	Stredná odborná škola chemická	Bratislava	Vlčie hrdlo 50	Vlčie hrdlo 50, Bratislava	4	2
613801	Stredná odborná škola polygrafická	Bratislava	Račianska 190	Račianska 190, Bratislava	1	—
614701	Stredná odborná škola informačných technologií	Bratislava	Hlinická 1	Hlinická 1, Bratislava	12	2.4
616004	Hotelová akadémia	Bratislava	Mikovíniho 1	Mikovíniho 1, Bratislava	1	—
616102	Obchodná akadémia I. Karvaša Bratislava	Bratislava	Hrobákova 11	Hrobákova 11, Bratislava	3	1.3
616103	Obchodná akadémia	Bratislava	Dudova 4	Dudova 4, Bratislava	1	—
616104	Obchodná akadémia	Bratislava	Nevädzova 3	Nevädzova 3, Bratislava	1	—
618303	Stredná priemyselná škola elektrotechnická	Bratislava	Zochova 9	Zochova 9, Bratislava	28	3
618304	Stredná priemyselná škola elektrotechnická	Bratislava	K. Adlera 5	K. Adlera 5, Bratislava	60	2.7
618305	Stredná priemyselná škola elektrotechnická	Bratislava	Hálova 16	Hálova 16, Bratislava	23	2.3
618401	Stredná odborná škola dopravná	Bratislava	Kvačalova 20	Kvačalova 20, Bratislava	1	—
621001	Gymnázium Ladislava Dúbravu	Dunajská Streda	Smetanov háj 285/8	Smetanov háj 285/8, Dunajská Streda	7	1.1
621002	Gymnázium Ármina Vámbéryho s VJM	Dunajská Streda	Námestie sv. Štefana 1190/4	Námestie sv. Štefana 1190/4, Dunajská Streda	12	1.3
621003	Gymnázium M. R. Štefánika	Šamorín	Slnečná 2	Slnečná 2, Šamorín	16	1.9
621004	Gymnázium Imre Madácha s VJM	Šamorín	Slnečná 2	Slnečná 2, Šamorín	26	1.9
621005	Gymnázium Mateja Korvína s VJM	Veľký Meder	Bratislavská 38	Bratislavská 38, Veľký Meder	3	1.3
621006	Gymnázium Janka Matúšku	Galanta	Štvrť SNP 1004/34	Štvrť SNP 1004/34, Galanta	20	1.8
621007	Gymnázium Zoltána Kodálya s VJM	Galanta	Štvrť SNP 1004/34	Štvrť SNP 1004/34, Galanta	20	—
621008	Gymnázium Vojtecha Mihálika	Sereď	Kostolná 119/8	Kostolná 119/8, Sereď	23	2.7
621009	Gymnázium Ivana Kupca	Hlohovec	Komenského 13	Komenského 13, Hlohovec	17	1.9
621010	Gymnázium Pierra de Coubertina	Piešťany	Námestie SNP 9	Námestie SNP 9, Piešťany	40	2.4
621012	Gymnázium Ladislava Novomeského	Senica	Dlhá 1037/12	Dlhá 1037/12, Senica	42	1.6
621014	Gymnázium F. V. Sasinka	Skalica	Námestie Slobody 3	Námestie Slobody 3, Skalica	25	1
621015	Gymnázium Jána Hollého	Trnava	Na Hlinách 30	Na Hlinách 30, Trnava	49	2.2
621016	Gymnázium Angely Merici	Trnava	Hviezdoslavova 10	Hviezdoslavova 10, Trnava	17	3
621017	Športové gymnázium Jozefa Herdu	Trnava	Bottova 31	Bottova 31, Trnava	20	2.1
621018	Súkromné bilingválne gymnázium	Galanta	Hodská 10	Hodská 10, Galanta	4	1.8
621019	Gymnázium Jána Baltazára Magina	Vrbové	Beňovského 358/100	Beňovského 358/100, Vrbové	6	2
621022	Súkromné gymnázium s VJM	Dunajská Streda	Hlavná 21	Hlavná 21, Dunajská Streda	10	—
621503	Stredná zdravotnícka škola	Trnava	Daxnerova 6	Daxnerova 6, Trnava	7	—
623002	Súkromná stredná odborná škola Via Humana	Skalica	Mallého 2	Mallého 2, Skalica	10	2
623005	Stredná odborná škola s VJM - Szakközépiskola	Dunajská Streda	Gyulu Szabóa 21	Gyulu Szabóa 21, Dunajská Streda	1	—
624001	Stredná priemyselná škola stavebná D. S. Jurkoviča	Trnava	Lomonosovova 7	Lomonosovova 7, Trnava	17	—
624501	Stredná priemyselná škola	Trnava	Komenského 1	Komenského 1, Trnava	38	2.2
626103	Obchodná akadémia	Hlohovec	Tehelná 4	Tehelná 4, Hlohovec	1	—
626105	Obchodná akadémia	Trnava	Kukučínova 2	Kukučínova 2, Trnava	5	1.4
628101	Stredná odborná škola technická - Müszaki Szakközépiskola	Dunajská Streda	Kračanská 1240/36	Kračanská 1240/36, Dunajská Streda	3	2.3
628301	Stredná priemyselná škola elektrotechnická	Piešťany	Brezová 2	Brezová 2, Piešťany	41	2
628304	Stredná odborná škola elektrotechnická	Gbely	Učňovská 700/6	Učňovská 700/6, Gbely	1	—
628305	Stredná odborná škola elektrotechnická	Trnava	Sibírska 1	Sibírska 1, Trnava	19	2.5
628401	Stredná priemyselná škola dopravná	Trnava	Študentská 23	Študentská 23, Trnava	6	2.2
631001	Gymnázium Janka Jesenského	Bánovce nad Bebravou	Radlinského 665/2	Radlinského 665/2, Bánovce nad Bebravou	26	1.8
631002	Gymnázium	Dubnica nad Váhom	Školská 2	Školská 2, Dubnica nad Váhom	23	1.5
631003	Spojená škola sv. J. Bosca - Gymnázium	Nová Dubnica	Trenčianska 66/28	Trenčianska 66/28, Nová Dubnica	3	2.7
631004	Gymnázium	Myjava	Jablonská 5/301	Jablonská 5/301, Myjava	22	—
631005	Gymnázium M. R. Štefánika	Nové Mesto nad Váhom	Športová 41	Športová 41, Nové Mesto nad Váhom	21	1.3
631006	Gymnázium sv. Jozefa	Nové Mesto nad Váhom	Klčové 87	Klčové 87, Nové Mesto nad Váhom	6	1.3
631007	Bilingválne slovensko-španielske gymnázium	Nové Mesto nad Váhom	Štúrova ulica 2590/31	Štúrova ulica 2590/31, Nové Mesto nad Váhom	2	1
631008	Gymnázium	Partizánske	Komenského 2/1074	Komenského 2/1074, Partizánske	32	1.9
631009	Gymnázium	Považská Bystrica	Školská 234/8	Školská 234/8, Považská Bystrica	52	1.7
631011	Gymnázium I. Bellu	Handlová	Lipová 15	Lipová 15, Handlová	9	1.7
631012	Spojená škola - Gymnázium	Nováky	Rastislavova 332	Rastislavova 332, Nováky	9	1
631013	Gymnázium V. B. Nedožerského	Prievidza	Matice slovenskej 16	Matice slovenskej 16, Prievidza	59	1.8
631014	Piaristická spojená škola F. Hanáka - Gymnázium	Prievidza	A. Hlinku 44	A. Hlinku 44, Prievidza	5	1.4
631015	Gymnázium	Púchov	1. mája 905	1. mája 905, Púchov	18	1.6
631016	Gymnázium Ľ. Štúra	Trenčín	1. mája 2	1. mája 2, Trenčín	52	2.1
631017	Športové gymnázium	Trenčín	Staničná 6	Staničná 6, Trenčín	4	2.3
631018	Piaristické gymnázium J. Braneckého	Trenčín	Palackého 4	Palackého 4, Trenčín	23	2.3
631020	Súkromné gymnázium FUTURUM	Trenčín	Kožušnícka 2	Kožušnícka 2, Trenčín	3	1
632501	Stredná umelecká škola	Trenčín	Staničná 8	Staničná 8, Trenčín	5	1.2
633001	Stredná odborná škola strojnícka	Bánovce nad Bebravou	Partizánska cesta 76	Partizánska cesta 76, Bánovce nad Bebravou	15	2.4
633004	Stredná odborná škola	Dubnica nad Váhom	Bratislavská 439/18	Bratislavská 439/18, Dubnica nad Váhom	12	1.8
633009	Stredná odborná škola	Stará Turá	Športová 675/1	Športová 675/1, Stará Turá	17	2.4
633015	Stredná odborná škola	Handlová	Lipová 8	Lipová 8, Handlová	7	2
633018	Stredná odborná škola	Púchov	I. Krasku 491	I. Krasku 491, Púchov	14	2.2
633021	Stredná odborná škola	Trenčín	Pod Sokolicami 14	Pod Sokolicami 14, Trenčín	1	—
633201	Stredná odborná škola strojnícka	Považská Bystrica	Športovcov 341/2	Športovcov 341/2, Považská Bystrica	21	2.2
634001	Stredná odborná škola stavebná Emila Belluša	Trenčín	Staničná 4	Staničná 4, Trenčín	4	1.5
634501	Stredná priemyselná škola	Dubnica nad Váhom	Obr. mieru 343/1	Obr. mieru 343/1, Dubnica nad Váhom	15	2.7
634502	Stredná priemyselná škola	Myjava	Ul. SNP 413/8	Ul. SNP 413/8, Myjava	29	2.7
634504	Stredná priemyselná škola	Považská Bystrica	Slovenských partizánov 1132/52	Slovenských partizánov 1132/52, Považská Bystrica	3	2.7
634505	Stredná priemyselná škola	Nové Mesto nad Váhom	Bzinská 11	Bzinská 11, Nové Mesto nad Váhom	6	2.5
636103	Obchodná akadémia	Považská Bystrica	Jesenského 259/6	Jesenského 259/6, Považská Bystrica	5	2.2
636105	Obchodná akadémia	Prievidza	F. Madvu 2	F. Madvu 2, Prievidza	3	—
636106	Obchodná akadémia Milana Hodžu	Trenčín	M. Rázusa 1	M. Rázusa 1, Trenčín	1	—
638601	Stredná odborná škola letecko - technická	Trenčín	Legionárska 160	Legionárska 160, Trenčín	1	—
641001	Gymnázium Ľudovíta Jaroslava Šuleka	Komárno	Pohraničná 10	Pohraničná 10, Komárno	12	1.8
641002	Gymnázium Hansa Selyeho s VJM - Selye János Gimnázium	Komárno	Ul. biskupa Királya 5	Ul. biskupa Királya 5, Komárno	37	1.7
641003	Gymnázium Andreja Vrábla	Levice	Mierová 5	Mierová 5, Levice	54	2.1
641005	Gymnázium s VJM - Gimnázium	Šahy	Mládežnícka 22	Mládežnícka 22, Šahy	7	1.3
641006	Gymnázium	Želiezovce	Štúrova 16	Štúrova 16, Želiezovce	2	2.5
641007	Gymnázium J. A. Komenského s VJM - Comenius Gimnázium	Želiezovce	Štúrova 16	Štúrova 16, Želiezovce	3	1.7
641008	Gymnázium	Nitra	Golianova 68	Golianova 68, Nitra	45	1.6
641009	Gymnázium	Nitra	Parovská 1	Parovská 1, Nitra	53	1.6
641010	Spojená katolícka škola - Gymnázium sv. Cyrila a Metoda	Nitra	Farská 19	Farská 19, Nitra	16	2.3
641011	Piaristická spojená škola sv. Jozefa Kalazanského - Piaristické gymnázium sv. Jozefa Kalazanského	Nitra	Piaristická 6	Piaristická 6, Nitra	17	2.9
641012	Gymnázium	Vráble	Školská 1232/26	Školská 1232/26, Vráble	11	2.6
641013	Gymnázium	Nové Zámky	M. R. Štefánika 16	M. R. Štefánika 16, Nové Zámky	31	1.6
641015	Gymnázium	Šurany	Bernolákova 37	Bernolákova 37, Šurany	15	—
641016	Gymnázium Juraja Fándlyho	Šaľa	Školská 3	Školská 3, Šaľa	18	1.8
641017	Gymnázium	Topoľčany	Ul. 17. novembra 1180/16	Ul. 17. novembra 1180/16, Topoľčany	28	2.1
641018	Gymnázium sv. Vincenta de Paul	Topoľčany	Ul. 17. novembra 1056	Ul. 17. novembra 1056, Topoľčany	1	—
641019	Gymnázium Janka Kráľa	Zlaté Moravce	SNP 3	SNP 3, Zlaté Moravce	12	1.2
641021	Gymnázium P. Czeglédiho Reformovanej kresťanskej cirkvi s VJM	Levice	J. Jesenského 41	J. Jesenského 41, Levice	1	—
641022	Spojená škola - Športové gymnázium	Nitra	Slančíkovej 2	Slančíkovej 2, Nitra	13	2.2
641023	Gymnázium P. Pázmáňa s VJM - Pázmány Péter Gimnázium	Nové Zámky	Letomostie 3	Letomostie 3, Nové Zámky	10	1.1
641024	Katolícka spojená škola sv. Vincenta de Paul - Gymnázium sv. Vincenta de Paul	Levice	Saratovská 87	Saratovská 87, Levice	5	1.8
641029	Katolícka spojená škola F. Fegyvernekiho s VJM - Cirkevné gymnázium F. Fegyvernekiho s VJM	Šahy	SNP 4	SNP 4, Šahy	3	1.3
643012	Stredná odborná škola techniky a služieb	Topoľčany	Tovarnícka 1609	Tovarnícka 1609, Topoľčany	1	—
643023	Stredná odborná škola technická - Műszaki Szakközépiskola	Komárno	Bratislavská 10	Bratislavská 10, Komárno	3	1.7
644001	Stredná priemyselná škola stavebná - Építőipari Szakközépiskola	Hurbanovo	Konkolyho 8	Konkolyho 8, Hurbanovo	20	2.3
644002	Stredná priemyselná škola stavebná	Nitra	Cabajská 4	Cabajská 4, Nitra	5	1.4
644501	Stredná priemyselná škola	Komárno	Petöfiho 2	Petöfiho 2, Komárno	55	2.8
644503	Stredná priemyselná škola strojnícka a elektrotechnická	Nitra	Fr. Kráľa 20	Fr. Kráľa 20, Nitra	5	1.4
644504	Spojená škola - Stredná priemyselná škola	Šaľa	Nivy 2	Nivy 2, Šaľa	1	—
646001	Spojená škola - Hotelová akadémia	Nitra	Slančíkovej 2	Slančíkovej 2, Nitra	1	—
646105	Obchodná akadémia	Topoľčany	Inovecká 2041	Inovecká 2041, Topoľčany	5	1.8
648102	Stredná odborná škola technická	Šurany	Nitrianska 61	Nitrianska 61, Šurany	4	1.3
648202	Stredná odborná škola polytechnická	Zlaté Moravce	SNP 2	SNP 2, Zlaté Moravce	1	—
648301	Spojená škola - Stredná priemyselná škola elektrotechnická S. A. Jedlika	Nové Zámky	Komárňanská 28	Komárňanská 28, Nové Zámky	19	2.2
651001	Gymnázium	Bytča	Štefánikova 219/4	Štefánikova 219/4, Bytča	15	1.7
651002	Gymnázium Jozefa Miloslava Hurbana	Čadca	17. novembra 1296	17. novembra 1296, Čadca	42	1.9
651003	Gymnázium	Turzovka	Ľ. Štúra 35	Ľ. Štúra 35, Turzovka	11	2.9
651004	Gymnázium P. O. Hviezdoslava	Dolný Kubín	Hviezdoslavovo námestie 18	Hviezdoslavovo námestie 18, Dolný Kubín	40	2.2
651006	Cirkevné gymnázium Andreja Radlinského	Dolný Kubín	Okružná 2062/25	Okružná 2062/25, Dolný Kubín	8	1
651007	Gymnázium	Kysucké Nové Mesto	Jesenského 2243	Jesenského 2243, Kysucké Nové Mesto	25	—
651008	Gymnázium	Liptovský Hrádok	Hradná 497/23	Hradná 497/23, Liptovský Hrádok	14	1.8
651009	Gymnázium Michala Miloslava Hodžu	Liptovský Mikuláš	M. M. Hodžu 860/9	M. M. Hodžu 860/9, Liptovský Mikuláš	22	2
651010	Evanjelická spojená škola - Evanjelické gymnázium J. Tranovského	Liptovský Mikuláš	Komenského 10	Komenského 10, Liptovský Mikuláš	7	1.6
651011	Gymnázium Jozefa Lettricha	Martin	Lettricha 2	Lettricha 2, Martin	21	1.9
651012	Gymnázium Viliama Paulinyho - Tótha	Martin	Malá hora 3	Malá hora 3, Martin	28	1.6
651013	Bilingválne gymnázium Milana Hodžu	Sučany	Komenského 215	Komenského 215, Sučany	14	1.6
651014	Spojená škola - Gymnázium J. C. Hronského	Vrútky	M. R. Štefánika 1	M. R. Štefánika 1, Vrútky	2	1
651015	Gymnázium Antona Bernoláka	Námestovo	Mieru 307/23	Mieru 307/23, Námestovo	78	2.2
651016	Gymnázium	Ružomberok	Š. Moyzesa 21	Š. Moyzesa 21, Ružomberok	35	1.9
651017	Gymnázium sv. Andreja	Ružomberok	Námestie A. Hlinku 5	Námestie A. Hlinku 5, Ružomberok	28	2.3
651019	Spojená škola - Gymnázium M. Galandu	Turčianske Teplice	Horné Rakovce 1440/29	Horné Rakovce 1440/29, Turčianske Teplice	3	2.7
651020	Gymnázium Martina Hattalu	Trstená	Železničiarov 278	Železničiarov 278, Trstená	72	1.8
651021	Gymnázium	Tvrdošín	Školská 837	Školská 837, Tvrdošín	13	1.3
651022	Gymnázium	Rajec	Javorová 5	Javorová 5, Rajec	3	1.7
651023	Katolícka spojená škola	Rajec	Námestie A. Škrábika 5	Námestie A. Škrábika 5, Rajec	5	1
651024	Gymnázium	Žilina	Hlinská 29	Hlinská 29, Žilina	29	3.2
651025	Gymnázium	Žilina	Veľká okružná 22	Veľká okružná 22, Žilina	55	2.2
